"Projeto:","Avaliador 1:","Avaliador 2:"
"prontuario eletronico odontologico: desenvolvimento de uma ferramenta auxiliar no ensino, na pesquisa e no exercicio da odontologia","MARIA DE OLIVEIRA ALVES CAVALCANTI","MARIA SUELI MARQUES SOARES"
"metodos eletroanaliticos para a determinacao de contaminantes emergentes","EDVAN CIRINO DA SILVA","LUCIANO FARIAS DE ALMEIDA"
"educacao de adultos e ensino superior: trajetorias de aprendizagens e sucesso escolar","WILSON HONORATO ARAGAO","MARIA ALVES DE AZEREDO"
"compressao de video digital full hd e ultra hd","MARCIA VERONICA COSTA MIRANDA","ALEXANDRE NOBREGA DUARTE"
"sociologia dos encontros desiguais: sobre alteridade e violencia nos bairros manaira e sao jose","ANDERSON MOEBUS RETONDAR","GENYSON MARQUES EVANGELISTA"
"influencia da suplementacao cronica com alimentos e suplementos nutricionais na hipotensao induzida pelo exercicio em hipertensos","AMILTON DA CRUZ SANTOS","IRAQUITAN DE OLIVEIRA CAMINHA"
"desenvolvimento de metodos quimiluminescentes baseados em imagens digitais","EVANEIDE FERREIRA SILVA","WALLACE DUARTE FRAGOSO"
"estudo das atividades gastroprotetora e antiulcerogenica de extratos brutos, fracoes e constituintes ativos obtidos de produtos naturais em modelos animais","FABIO SANTOS DE SOUZA","CALIANDRA MARIA BEZERRA LUNA LIMA"
"ferramentas digitais para o produtor de midias sociais de agencias de noticias","MARCIA VERONICA COSTA MIRANDA","IGUATEMI EDUARDO DA FONSECA"
"comportamento microbiologico, fisico-quimico e nutricional de queijo minas frescal e ricota fresca vendidos em joao pessoa - pb","RITA DE CASSIA RAMOS DO EGYPTO QUEIROGA","JAILANE DE SOUZA AQUINO"
"o discurso higienista sobre a infancia em circulacao em impressos na primeira republica (1889-1930)","MATHEUS DA CRUZ E ZICA","JORGE ADRIANO LUBENOW"
"mapeamento de tendencias operacionais de cdc, pessoa fisica, do setor bancario brasileiro","BRIVALDO ANDRE MARINHO DA SILVA","MARCIO ANDRE VERAS MACHADO"
"recomendacao de cultivares de alface para regiao do brejo paraibano","FILLIPE SILVEIRA MARINI","ALBERICIO PEREIRA DE ANDRADE"
"caracteres agronomicos e analise bromatologica de genotipos de batata-doce em sistema organico de producao","FILLIPE SILVEIRA MARINI","ALEX DA SILVA BARBOSA"
"avaliacao da sobrecarga em cuidadores familiares de idosos","MARCO ANTONIO DE VIVO BARROS","IAPONIRA CORTEZ COSTA DE OLIVEIRA"
"disfuncao temporomandibular (dtm) e habitos parafuncionais relacionados com fatores psicossociais em idosos.","MARIA GERMANA GALVAO CORREIA LIMA","SONIA SAEGER MEIRELES MONTE RASO"
"desidratacao osmotica de frutas regionais","VIVIAN STUMPF MADEIRA","FLAVIO LUIZ HONORATO DA SILVA"
"adolescencia e vulnerabilidades: gravidez de risco e doencas sexualmente transmissiveis em pacientes assistidas em maternidades publicas do municipio de joao pessoa, paraiba.","ROSALIA GOUVEIA FILIZOLA","CLAUDIO SERGIO MEDEIROS PAIVA"
"exigencia proteica de juvenis de tilapia nilotica (oreochromis niloticus) linhagem gift","PATRICIA MIRELLA DA SILVA SCARDUA","IAN PORTO GURGEL DO AMARAL"
"fome e relacoes internacionais: uma agenda de pesquisa necessaria para o brasil","DANIEL DE CAMPOS ANTIQUERA","HENRIQUE ZEFERINO DE MENEZES"
"historia oral tematica de enfermeiros e o aidpi: o que mudou para o cuidado da enfermagem em atencao a saude da crianca?","MARIA MIRIAM LIMA DA NOBREGA","NEUSA COLLET"
"recuperacao de area degradada por diferentes pressoes ambientais","ADEMAR PEREIRA DE OLIVEIRA","EDNA URSULINO ALVES"
"a gastronomia como produto turistico na cidade de cabaceiras-pb","ANA VALERIA ENDRES","MARCELO DE SOUZA BISPO"
"projeto camara","VANIA DA SILVA FRAGA","ALEXANDRE JOSE SOARES MINA"
"ensaios de adubacao organica e avaliacao da macrofauna edafica na microrregiao da mata paraibana","KELLY CRISTIANE GOMES DA SILVA","HEMMANNUELLA COSTA SANTOS"
"representacoes sociais da doenca de alzheimer em idosos saudaveis e cuidadores","ORIANA DEYZE CORREIA PAIVA LEADEBAL","MARIA MIRIAM LIMA DA NOBREGA"
"transtornos hipercineticos e cotidiano escolar: investigando praticas de inclusao","ANGELA MARIA DIAS FERNANDES","FABIOLA DE SOUSA BRAZ AQUINO"
"bioprospeccao de produtos naturais e sinteticos com atividade moduladora sobre canais ionicos em musculatura lisa de aorta de rato","BAGNOLIA ARAUJO DA SILVA","FABIANA DE ANDRADE CAVALCANTE"
"avaliacao da influencia climatologica sobre a produtividade do girassol irrigado","FRANCISCO BORJA RUIZ REVERTER","ALEX DA SILVA BARBOSA"
"exigencia proteica de tambaqui (colossoma macropomum) na categoria de 30 a 100 gramas, aplicando o conceito de proteina ideal","IERECE MARIA DE LUCENA ROSA","PATRICIA MIRELLA DA SILVA SCARDUA"
"modelos e praticas de cuidado as pessoas vivendo com hiv/aids","JOSE DA PAZ OLIVEIRA ALVARENGA","VALERIA PEIXOTO BEZERRA"
"microenxertia in vitro de frutiferas tropicais","MARIVALDO WAGNER DE SOUSA SILVA","RITA DE CASSIA DA SILVEIRA E SA"
"cultivo in vitro de violeta africana (saintpaulia ionantha wendl.)","LUIS FERNANDO MARQUES DOS SANTOS","RITA DE CASSIA DA SILVEIRA E SA"
"estudo comparativo dos efeitos vasculares induzidos por timol e carvacrol em arteria coronaria de porco","BAGNOLIA ARAUJO DA SILVA","FABIANA DE ANDRADE CAVALCANTE"
"identificacao e analise de pontos potenciais para aplicacao da inovacao social com vistas no desenvolvimento de produtos na cidade de rio tinto-pb","NEIR ANTUNES PAES","DARLENE CAMATI PERSUHN"
"investigacao e analise da prototipagem rapida e da modelagem digital para o desenvolvimento de produtos sustentaveis","MERCIA MELO DE ALMEIDA MOTA","ELAINE FOLLY RAMOS"
"analise da rugosidade superficial de uma resina nano-hibrida apos acao de aparelho profilatico","RICARDO DIAS DE CASTRO","MARIA SUELI MARQUES SOARES"
"qualidade de vida, capacidade funcional e estado de saude de idosos atendidos no servico de atencao basica de saude","LENILDE DUARTE DE SA","MARIA ADELAIDE SILVA PAREDES MOREIRA"
"analise dos instrumentos de avaliacao da escola de posturas da ufpb e desenvolvimento de novas tecnologias diagnosticas","HELEODORIO HONORATO DOS SANTOS","ANTONIO GERALDO CIDRAO DE CARVALHO"
"analise dos instrumentos de avaliacao da escola de posturas da ufpb e desenvolvimento de protocolo de avaliacao da flexibilidade da coluna vertebral","MARIA DE FATIMA ALCANTARA BARROS","PALLOMA RODRIGUES DE ANDRADE"
"astronomia como forma de insercao da construcao do conhecimento cientifico no ensino medio","JOSIANE DE CAMPOS CRUZ","PIERRE CORREA MARTINS"
"o magisterio em educacao de jovens e adultos: o egresso do curso de pedagogia em questao","JANINE MARTA COELHO RODRIGUES","MARIA ADAILZA MARTINS DE ALBUQUERQUE"
"analise dos instrumentos de avaliacao da escola de posturas da ufpb e desenvolvimento de tecnologias fotogrametricas","KATIA SUELY QUEIROZ SILVA RIBEIRO","PALLOMA RODRIGUES DE ANDRADE"
"gestao do servico de enfermagem na rede de atencao basica","LENILDE DUARTE DE SA","MARIA DJAIR DIAS"
"avaliacao da casuistica de hipertensao arterial pulmonar submetidos ao cateterismo no setor de hemodinamica do hospital universitario lauro wanderley","ESTHER BASTOS PALITOT","EUTILIA ANDRADE MEDEIROS FREIRE"
"o rastrear das instituicoes educativas no municipio de bananeiras/pb: um olhar sobre o patronato agricola vidal de negreiros","ROSE MARY DE SOUZA ARAUJO","JORGE FERNANDO HERMIDA AVEIRO"
"deteccao da lesao cariosa na superficie oclusal de molares e pre-molares permanentes com fissura pigmentada.","MARIA DE OLIVEIRA ALVES CAVALCANTI","MARIA GERMANA GALVAO CORREIA LIMA"
"narrativas fantasticas: entre a tradicao e a modernidade","EVERTON BARBOSA CORREIA","CARLOS AUGUSTO DE MELO"
"perfil das habilidades auditivas de criancas e adolescentes com deficiencia auditiva que frequentam servicos de reabilitacao fonoaudiologica da cidade de joao pessoa-pb: uma proposta de monitoramento do desenvolvimento auditivo.","BRUNNA THAIS LUCKWU DE LUCENA","ANNA ALICE FIGUEIREDO DE ALMEIDA"
"padroes espaciais e ecologia reprodutiva de plantas em uma comunidade de brejo de altitude","VENIA CAMELO DE SOUZA","ADRIANE PEREIRA WANDENESS"
"intervencoes de enfermagem para o diagnostico de risco para a integridade da pele prejudicada","MARIA EMILIA LIMEIRA LOPES","IOLANDA BESERRA DA COSTA SANTOS"
"assedio moral no ambito academico","LENILDE DUARTE DE SA","CIZONE MARIA CARNEIRO ACIOLY"
"avaliacao do sistema nervoso autonomo em idosos e sua relacao com os niveis de vitamina d","RODRIGO PINHEIRO DE TOLEDO VIANNA","FLAVIA EMILIA LEITE DE LIMA FERREIRA"
"formacao leitora no ensino medio: entre discursos e praticas","BETANIA PASSOS MEDRADO","TANIA LIPARINI CAMPOS"
"mediacao judicial como metodo restaurativo de relacoes em conflito","ADRIANO MARTELETO GODINHO","MARIA CREUSA DE ARAUJO BORGES"
"criacao musical e sonologia: estudo tecnico, pratico e teorico do artesanato sonoro-musical da atualidade","LUCIANA NODA","VALERIO FIEL DA COSTA"
"metodos, finalidades, indicadores, concepcoes e expectativas do processo de auditoria em enfermagem no municipio de joao pessoa - pb","RONALDO BEZERRA DE QUEIROZ","MARIA DJAIR DIAS"
"processo de auditoria em enfermagem: uma revisao integrativa da literatura","ORIANA DEYZE CORREIA PAIVA LEADEBAL","MARIA DAS GRACAS MELO FERNANDES"
"aleitamento materno em recem-nascidos internados em uti neonatal de um hospital universitario","JANA LUIZA TOSCANO MENDES DE OLIVEIRA","JOELMA RODRIGUES DE SOUZA"
"estrategia do rastreamento do cancer do colo do utero no brasil e na paraiba","RILVA LOPES DE SOUSA MUNOZ","JADER FREIRE SOBRAL FILHO"
"atendimento oftalmologico a criancas de escolas publicas de joao pessoa - pb","JULIANA SAMPAIO","JAQUELINE BRITO VIDAL BATISTA"
"padronizacao do teste de cristalizacao do filme lacrimal em caes normais e em caes com ceratoconjuntivite seca","JOSE NELIO DE SOUSA SALES","RICARDO ROMAO GUERRA"
"rede, apoio social e cuidado em saude na condicao cronica na infancia","SIMONE ELIZABETH DUARTE COUTINHO","MARIA MIRIAM LIMA DA NOBREGA"
"a estrutura de propriedade e a assimetria de informacao no mercado acionario brasileiro","WENNER GLAUCIO LOPES LUCENA","SIMONE BASTOS PAIVA"
"aproveitando a vocacao regional no desenvolvimento de alimentos mais saudaveis: uso de carne de caprinos de descarte para producao de derivados com reduzido teor de sodio","HAISSA ROBERTA CARDARELLI","RAQUEL LIMA SALGADO"
"a abordagem da geomorfologia nos estudos de impacto ambiental (eias) e relatorios de impacto ambiental (rimas) no estado da paraiba","LINCOLN ELOI DE ARAUJO","RICHARDE MARQUES DA SILVA"
"implicacoes do teste do olhinho em recem-nascidos: estudo descritivo em hospital universitario do nordeste brasileiro","MARCO ANTONIO DE VIVO BARROS","FLAVIA CRISTINA FERNANDES PIMENTA"
"analise das complicacoes de blefaroplastia","CARLOS FERNANDO DE MELLO JUNIOR","MAURUS MARQUES DE ALMEIDA HOLANDA"
"otimizacao da elaboracao de bebida lactea com potencial simbiotico empregando leite e soro de queijo de cabra, galactooligossacarideo (gos) e lactobacillus casei atraves da metodologia da superficie de resposta","RICARDO TARGINO MOREIRA","ESMERALDA PARANHOS DOS SANTOS"
"levantamento de infestacao por carrapatos (acari: ixodidae) em reservas de mata atlantica no nordeste do brasil.","LUCIO ROBERTO CANCADO CASTELLANO","MARILIA GABRIELA DOS SANTOS CAVALCANTI"
"mntb (micobacterias nao tuberculose): estudo da epidemiologia e diagnostico diferencial em hospital de referencia","SIMONE HELENA DOS SANTOS OLIVEIRA","JULIANA SAMPAIO"
"preparacao de adsorventes para remocao de metais pesados de efluentes industriais","NATALY ALBUQUERQUE DOS SANTOS","SILVIA LAYARA FLORIANI ANDERSEN"
"cuidados paliativos ao paciente na terminalidade","CIZONE MARIA CARNEIRO ACIOLY","IOLANDA BESERRA DA COSTA SANTOS"
"analise economica das regras e principios no ambiente comercial internacional","LORENA DE MELO FREITAS","ADRIANO MARTELETO GODINHO"
"politicas de educacao superior: os desafios do acesso e permanencia no contexto da expansao das universidades federais","JANINE MARTA COELHO RODRIGUES","ERENILDO JOAO CARLOS"
"analise economica regras principios como direito pode incentivar cooperacao inibir comportamento oportunista","PEDRO PARINI MARQUES DE LIMA","EDUARDO RAMALHO RABENHORST"
"memoria episodica e envelhecimento: investigacao dos processos de codificacao","NELSON TORRO ALVES","LIANA CLEBIA DE MORAIS PORDEUS"
"adaptacoes anatomicas e ecologicas em halofitas da zona costeira da praia de intermares, municipio de cabedelo, paraiba, brasil.","LAIS ANGELICA DE ANDRADE PINHEIRO BORGES","ZELMA GLEBYA MACIEL QUIRINO"
"guilda de beija-flores em fragmentos de mata atlantica no municipio de rio tinto, paraiba, brasil","LAIS ANGELICA DE ANDRADE PINHEIRO BORGES","ZELMA GLEBYA MACIEL QUIRINO"
"biologia floral, ecologia da polinizacao e eficiencia na producao de sementes de vigna ungulculata (l.) walp em sistemas agricolas.","LAIS ANGELICA DE ANDRADE PINHEIRO BORGES","ZELMA GLEBYA MACIEL QUIRINO"
"estudo epidemiologico da prevalencia de psoriase pediatrica","ALESSANDRA SOUSA BRAZ CALDAS DE ANDRADE","JOSE SOARES DO NASCIMENTO"
"estudo da prevalencia dos efeitos adversos dos medicamentos sistemicos utilizados no tratamento da psoriase","CRISTIANNE DA SILVA ALEXANDRE","ALESSANDRA SOUSA BRAZ CALDAS DE ANDRADE"
"psoriase e disfuncao ventricular - estudo caso-controle","MARCO ANTONIO DE VIVO BARROS","FLAVIA CRISTINA FERNANDES PIMENTA"
"influencia de variaveis abioticas sobre a comunidade de aranhas (araneae) em serapilheira em duas fisionomias vegetais na area de protecao ambiental na barra do rio mamanguape (apa), paraiba, pb, brasil","FREDERICO GUSTAVO RODRIGUES FRANCA","GEORGE EMMANUEL CAVALCANTI DE MIRANDA"
"ymyrapyta: ligas da memoria, verdade e justica","MARCILIO TOSCANO FRANCA FILHO","SVEN PETERKE"
"educadoras na paraiba do seculo xx: da democracia da republica nova ao estado novo (1930-1937)","ANTONIO CARLOS FERREIRA PINHEIRO","MATHEUS DA CRUZ E ZICA"
"o domestico e o internacional na teoria politica classica: conceitos, apontamentos e lacunas no pensamento de j.j. rousseau","HENRY IURE DE PAIVA SILVA","HENRIQUE ZEFERINO DE MENEZES"
"qualidade de vida dos cuidadores de pacientes portadores de insuficiencia renal cronica em tratamento dialitico","ESTHER BASTOS PALITOT","JOSE SOARES DO NASCIMENTO"
"estudo comparativo dos extratos de folhas de plantas do nordeste em testes de coagulacao com peconhas de serpentes","PLINIO DELA TORRE","CARLOS ALBERTO DE ALMEIDA GADELHA"
"materiais polimericos utilizados em embalagens comestiveis","GERD BRUNO DA ROCHA","RAUL ROSENHAIM"
"biosseguranca em odontologia: prevenindo os riscos em busca da promocao da saude","RICARDO DIAS DE CASTRO","SONIA SAEGER MEIRELES MONTE RASO"
"variacoes anatomicas do sistema arterial hepatico, tronco celiaco e arterias renais: uma analise atraves de angiotomografia computadorizada por multislice.","EDUARDO SERGIO SOARES SOUSA","SEVERINO AIRES DE ARAUJO NETO"
"a formacao literaria dos graduandos em letras da ufpb - litoral norte","EVERTON BARBOSA CORREIA","LUCIANE ALVES SANTOS"
"criacao de bezerras leiteiras sob dois tipos de aleitamento artificial","PAULO SERGIO DE AZEVEDO","GEORGE RODRIGO BELTRAO DA CRUZ"
"desempenho de novilhas leiteiras recriadas a pasto sob dois tipos de mineralizacao","PATRICIA EMILIA NAVES GIVISIEZ","EDGARD CAVALCANTI PIMENTA FILHO"
